 #  Elapsed Time    Sqr Displ.      Sqr Displ.     Sqr Displ.  KMC step
 #  ************    ***Total***       Atom Ni        Atom NiV  ********
  0.00000000E+00      0.0000000      0.0000000      0.0000000         0
  0.55340472E-11      6.0389865      6.0385653      0.0004212         1
  0.13144947E-10      0.0000000      0.0000000      0.0000000         2
  0.15117378E-10      6.0389855      6.0385643      0.0004212         3
  0.16840124E-10     12.2995990     12.2984688      0.0011302         4
  0.22125891E-10      6.0389883      6.0385671      0.0004212         5
  0.28127267E-10     12.2995984     12.2984682      0.0011302         6
  0.30189846E-10     18.3771067     18.3763428      0.0007639         7
  0.36508268E-10     24.6275766     24.6265599      0.0010167         8
  0.37254158E-10     30.7756198     30.7739975      0.0016223         9
  0.40875436E-10     24.6275754     24.6265587      0.0010167        10
  0.53745166E-10     30.6287491     30.6282293      0.0005198        11
  0.65188271E-10     36.8861815     36.8855748      0.0006067        12
  0.80564586E-10     43.1401864     43.1392301      0.0009563        13
  0.92215415E-10     55.3551597     55.3542177      0.0009421        14
  0.96220368E-10     61.6775362     61.6757999      0.0017363        15
  0.99783803E-10     67.8263148     67.8218545      0.0044603        16
  0.10319557E-09     73.9520438     73.9445563      0.0074875        17
  0.10319970E-09     80.1808535     80.1753556      0.0054979        18
  0.10832043E-09     86.3739738     86.3701796      0.0037942        19
  0.11475370E-09     92.5727527     92.5688015      0.0039512        20
  0.11734717E-09     86.3739725     86.3701783      0.0037942        21
  0.12000850E-09     86.5129011     86.5107469      0.0021542        22
  0.12376777E-09     92.6616263     92.6597179      0.0019083        23
  0.12836629E-09     98.8837189     98.8806087      0.0031101        24
  0.13489579E-09    104.9823807    104.9772816      0.0050991        25
  0.13596172E-09    111.1307023    111.1244160      0.0062863        26
  0.14073559E-09    117.2440403    117.2357906      0.0082497        27
  0.14138181E-09    123.5076856    123.4990198      0.0086658        28
  0.14220344E-09    129.5979477    129.5855945      0.0123532        29
  0.14621747E-09    123.5076867    123.4990210      0.0086658        30
  0.14753724E-09    129.6708825    129.6615223      0.0093602        31
  0.14968721E-09    135.8308976    135.8173601      0.0135375        32
  0.15098121E-09    141.9555035    141.9394987      0.0160048        33
  0.15753931E-09    148.1661607    148.1497254      0.0164353        34
  0.16454579E-09    154.3984192    154.3831520      0.0152672        35
  0.16584451E-09    160.7341468    160.7204098      0.0137370        36
  0.16969550E-09    166.7639463    166.7510910      0.0128553        37
  0.17721261E-09    172.9829271    172.9656143      0.0173128        38
  0.17891829E-09    179.0849114    179.0631377      0.0217737        39
  0.18122110E-09    185.3071736    185.2853584      0.0218152        40
  0.18157975E-09    191.5671840    191.5478788      0.0193051        41
  0.18612934E-09    191.3798150    191.3602193      0.0195957        42
  0.19253037E-09    197.6731538    197.6511252      0.0220286        43
  0.19290994E-09    203.5415386    197.8154968      5.7260418        44
  0.19295416E-09    209.8252164    197.7512247     12.0739917        45
  0.19936827E-09    215.9766933    203.8084378     12.1682555        46
  0.20049585E-09    221.6047300    203.7837119     17.8210181        47
  0.20076484E-09    215.9765554    203.8082195     12.1683359        48
  0.20111077E-09    222.2113412    210.0632307     12.1481105        49
  0.20172917E-09    228.4504697    210.0875398     18.3629298        50
  0.20177047E-09    234.3718813    210.1757312     24.1961501        51
  0.20221577E-09    240.3705698    210.2014814     30.1690884        52
  0.20238106E-09    246.8394966    216.3890735     30.4504231        53
  0.20317011E-09    252.5573211    216.2656238     36.2916973        54
  0.20350956E-09    253.0658082    216.3935506     36.6722577        55
  0.20411258E-09    252.5573179    216.2656238     36.2916941        56
  0.20416623E-09    246.8542166    216.4195148     30.4347018        57
  0.20416723E-09    252.5573146    216.2656237     36.2916909        58
  0.20436562E-09    246.8540577    216.4194399     30.4346179        59
  0.20459459E-09    264.9648893    216.4265947     48.5382945        60
  0.20461953E-09    258.4169765    210.2399847     48.1769918        61
  0.20489067E-09    258.1448042    209.9723678     48.1724365        62
  0.20491619E-09    252.1428289    209.9464653     42.1963636        63
  0.20543988E-09    258.6142621    209.9612094     48.6530527        64
  0.20583786E-09    264.4562597    209.9438540     54.5124057        65
  0.20618662E-09    264.6305830    209.9882615     54.6423215        66
  0.20623325E-09    258.4564553    210.0248932     48.4315620        67
  0.21010104E-09    264.6305828    209.9882610     54.6423218        68
  0.21081576E-09    258.4563654    210.0248902     48.4314752        69
  0.21163084E-09    264.5027466    210.0570512     54.4456953        70
  0.21206291E-09    270.8981274    216.3678567     54.5302707        71
  0.21502066E-09    276.7689858    216.3638195     60.4051663        72
  0.21504883E-09    283.0304931    216.4904101     66.5400830        73
  0.21776953E-09    289.2020417    222.6267482     66.5752935        74
  0.22217853E-09    295.5081131    228.9192024     66.5889108        75
  0.22284538E-09    300.9674197    228.7973429     72.1700769        76
  0.22367207E-09    295.3977272    228.8491961     66.5485311        77
  0.22568502E-09    295.4262982    228.8683179     66.5579803        78
  0.22572457E-09    295.3977144    228.8491945     66.5485199        79
  0.22706770E-09    300.9829583    228.8287904     72.1541679        80
  0.22769131E-09    307.3325861    235.0876496     72.2449365        81
  0.22788495E-09    313.4039602    241.1888464     72.2151139        82
