 #  Elapsed Time    Sqr Displ.      Sqr Displ.     Sqr Displ.  KMC step
 #  ************    ***Total***       Atom Ni        Atom NiV  ********
  0.00000000E+00      0.0000000      0.0000000      0.0000000         0
  0.11198785E-10      6.0693621      6.0690949      0.0002673         1
  0.13093651E-10     12.1767273     12.1763237      0.0004036         2
  0.16762989E-10     18.3387034     18.3381293      0.0005741         3
  0.24363089E-10     24.6331986     24.6322978      0.0009008         4
  0.24957278E-10     30.7516498     30.7496275      0.0020223         5
  0.39607657E-10     36.9115202     36.9087993      0.0027210         6
  0.45789282E-10     43.1309512     43.1286619      0.0022894         7
  0.61203736E-10     49.3219748     49.3182324      0.0037424         8
  0.63906048E-10     55.4354190     55.4297957      0.0056233         9
  0.64182067E-10     49.3219731     49.3182307      0.0037424        10
  0.70360836E-10     55.4564792     55.4503672      0.0061120        11
  0.78327967E-10     61.6316643     61.6239658      0.0076985        12
  0.78576952E-10     67.7934927     67.7846940      0.0087987        13
  0.78799294E-10     67.7918682     67.7853569      0.0065114        14
  0.85422621E-10     74.0908219     74.0845708      0.0062511        15
  0.88603051E-10     80.2869165     80.2811249      0.0057916        16
  0.93558095E-10     86.4554123     86.4481263      0.0072860        17
  0.10299058E-09     92.5747479     92.5649309      0.0098171        18
  0.10832121E-09     86.4554125     86.4481264      0.0072861        19
  0.11680067E-09     98.7388462     98.7312979      0.0075483        20
  0.11714544E-09    105.1125714    105.1040325      0.0085390        21
  0.11994653E-09    111.3562316    111.3497335      0.0064981        22
  0.12029092E-09    117.4975101    117.4916564      0.0058537        23
  0.12167426E-09    111.3562307    111.3497326      0.0064981        24
  0.12309626E-09    117.5390946    117.5319396      0.0071550        25
  0.13089939E-09    123.6488486    123.6415842      0.0072644        26
  0.13700700E-09    129.7890170    129.7819205      0.0070964        27
  0.14257357E-09    136.0095359    136.0011054      0.0084306        28
  0.14450234E-09    142.3762890    142.3680047      0.0082843        29
  0.14600561E-09    154.5818186    154.5760743      0.0057443        30
  0.14716587E-09    154.7390792    154.7339881      0.0050911        31
  0.14824134E-09    160.8483156    160.8421142      0.0062014        32
  0.15284305E-09    167.1626074    167.1544112      0.0081962        33
  0.15302388E-09    173.1995789    173.1854780      0.0141009        34
  0.15533117E-09    179.3019701    179.2826483      0.0193219        35
  0.16017640E-09    185.5256989    185.5092597      0.0164391        36
  0.16287332E-09    191.9373950    191.9237409      0.0136541        37
  0.16821378E-09    198.0848693    198.0713201      0.0135491        38
  0.17047400E-09    204.2366082    204.2247415      0.0118667        39
  0.17302581E-09    210.5011208    210.4888919      0.0122290        40
  0.17503718E-09    216.6650993    216.6506233      0.0144760        41
  0.17974858E-09    222.7354858    222.7175906      0.0178952        42
  0.18094126E-09    228.8632416    228.8397324      0.0235092        43
  0.18140151E-09    235.1674279    235.1413213      0.0261066        44
  0.18154582E-09    241.1515645    241.1243885      0.0271760        45
  0.18369409E-09    247.4025422    247.3729030      0.0296393        46
  0.18970641E-09    253.5794585    253.5466711      0.0327874        47
  0.19025804E-09    259.7266619    259.6911997      0.0354623        48
  0.19786881E-09    259.8011786    259.7707836      0.0303950        49
  0.19980579E-09    253.6354774    253.6076582      0.0278192        50
  0.20166171E-09    259.9397568    259.9097062      0.0300505        51
  0.20584788E-09    265.9313033    265.8935925      0.0377108        52
  0.20685442E-09    272.1570283    272.1235612      0.0334671        53
  0.20857511E-09    272.2558368    272.2239848      0.0318520        54
  0.21302132E-09    272.1025757    272.0641261      0.0384496        55
  0.22288367E-09    278.3174084    278.2804770      0.0369313        56
  0.22498067E-09    284.6755093    284.6359666      0.0395427        57
  0.23307530E-09    290.5232355    290.4749853      0.0482502        58
  0.23359470E-09    296.8198673    296.7718845      0.0479828        59
  0.23442910E-09    302.9735756    302.9285648      0.0450108        60
  0.23523255E-09    315.3543337    315.3086715      0.0456622        61
  0.24528906E-09    321.5383580    321.4921102      0.0462478        62
  0.24567946E-09    327.7582110    327.7118845      0.0463264        63
  0.25023717E-09    334.1484786    334.1060188      0.0424598        64
  0.25626137E-09    327.7581731    327.7118467      0.0463264        65
  0.26097441E-09    334.0153948    333.9679615      0.0474333        66
  0.26255261E-09    340.3304692    340.2899083      0.0405609        67
  0.28439584E-09    346.6647304    346.6253133      0.0394171        68
  0.28557660E-09    359.0436251    359.0081682      0.0354569        69
  0.29157470E-09    365.1878486    365.1511864      0.0366622        70
  0.29440807E-09    371.3217260    371.2834145      0.0383115        71
  0.29505344E-09    377.5927244    377.5588062      0.0339181        72
  0.29656427E-09    377.7703174    377.7430404      0.0272770        73
  0.29958251E-09    383.8847507    383.8588891      0.0258616        74
  0.30004876E-09    383.8686042    383.8423616      0.0262426        75
  0.30244292E-09    390.2409058    390.2136429      0.0272630        76
