 #  Elapsed Time    Sqr Displ.      Sqr Displ.     Sqr Displ.  KMC step
 #  ************    ***Total***       Atom Ni        Atom NiV  ********
  0.00000000E+00      0.0000000      0.0000000      0.0000000         0
  0.12963335E-10      6.0239855      6.0234989      0.0004866         1
  0.18495477E-10      0.0000000      0.0000000      0.0000000         2
  0.19289099E-10      6.0688562      6.0685818      0.0002744         3
  0.29338368E-10     12.1751309     12.1747214      0.0004095         4
  0.29990755E-10     18.3608235     18.3598736      0.0009499         5
  0.36503999E-10     24.6444345     24.6434817      0.0009528         6
  0.40572659E-10     30.7393165     30.7378243      0.0014922         7
  0.43508392E-10     36.8637580     36.8606904      0.0030676         8
  0.44949436E-10     43.0546175     43.0530603      0.0015573         9
  0.46384194E-10     49.2228410     49.2193498      0.0034912        10
  0.49679733E-10     55.5215589     55.5179854      0.0035735        11
  0.54638505E-10     61.6371472     61.6337786      0.0033686        12
  0.57392107E-10     67.9409776     67.9382005      0.0027771        13
  0.57754795E-10     74.0448667     74.0428078      0.0020590        14
  0.61016222E-10     80.2485460     80.2450852      0.0034608        15
  0.62096546E-10     86.4171667     86.4143979      0.0027688        16
  0.65968489E-10     92.7630451     92.7610820      0.0019631        17
  0.66849064E-10     98.8716088     98.8692511      0.0023577        18
  0.72527785E-10    111.3229704    111.3207753      0.0021951        19
  0.76653156E-10    117.6446016    117.6431861      0.0014155        20
  0.81863997E-10    123.9620365    123.9605086      0.0015279        21
  0.82430020E-10    135.8760786    135.8741891      0.0018895        22
  0.86358505E-10    123.9620377    123.9605098      0.0015279        23
  0.87583235E-10    129.9181333    129.9154547      0.0026785        24
  0.90267061E-10    136.1427144    136.1394987      0.0032157        25
  0.90965916E-10    142.3833976    142.3801490      0.0032485        26
  0.98546184E-10    148.4718392    148.4671442      0.0046950        27
  0.10034334E-09    154.6164328    154.6107069      0.0057259        28
  0.10456714E-09    160.8715202    160.8649304      0.0065899        29
  0.10802477E-09    167.1003912    167.0947469      0.0056443        30
  0.11650873E-09    173.2118176    173.2045978      0.0072199        31
  0.11696631E-09    179.4133780    179.4065680      0.0068100        32
  0.11921664E-09    185.5511882    185.5423032      0.0088851        33
  0.12294610E-09    191.7487132    191.7395809      0.0091323        34
  0.13524851E-09    197.9257480    197.9157937      0.0099543        35
  0.14106647E-09    204.2674223    204.2594650      0.0079573        36
  0.14171390E-09    210.5594713    210.5525703      0.0069010        37
  0.14696425E-09    216.5956527    216.5872784      0.0083742        38
  0.14753282E-09    222.7510566    222.7393843      0.0116723        39
  0.14975300E-09    228.9746221    228.9632290      0.0113931        40
  0.15916760E-09    235.3485662    235.3399064      0.0086598        41
  0.16492663E-09    241.5360303    241.5277799      0.0082504        42
  0.16846816E-09    247.6335748    247.6248055      0.0087693        43
  0.17322757E-09    253.7875780    253.7793023      0.0082757        44
  0.17328704E-09    259.9334409    259.9226071      0.0108338        45
  0.17337572E-09    266.2164007    266.2081035      0.0082972        46
  0.17819961E-09    278.6481770    278.6405543      0.0076228        47
  0.17956675E-09    278.7052395    278.6969865      0.0082529        48
  0.18060578E-09    278.6481728    278.6405500      0.0076228        49
  0.19395718E-09    272.5338372    272.5264731      0.0073642        50
  0.19898861E-09    278.7292066    278.7232627      0.0059439        51
  0.20287661E-09    272.5337675    272.5264033      0.0073642        52
  0.21475789E-09    278.6523037    278.6441311      0.0081727        53
  0.21518796E-09    284.7908027    284.7809568      0.0098458        54
  0.22199403E-09    291.1888863    291.1797426      0.0091436        55
  0.22245426E-09    284.7908030    284.7809572      0.0098458        56
  0.22525950E-09    291.0018154    290.9905631      0.0112523        57
  0.22701855E-09    297.2016482    297.1872617      0.0143865        58
  0.22886882E-09    303.3375849    303.3192006      0.0183843        59
  0.22919058E-09    309.6050294    309.5857762      0.0192532        60
  0.23030561E-09    315.8156631    315.7953929      0.0202702        61
  0.23295071E-09    321.9547531    321.9367389      0.0180142        62
