 #  Elapsed Time    Sqr Displ.      Sqr Displ.     Sqr Displ.  KMC step
 #  ************    ***Total***       Atom Ni        Atom NiV  ********
  0.00000000E+00      0.0000000      0.0000000      0.0000000         0
  0.95302186E-11      6.0248316      6.0243597      0.0004718         1
  0.22063719E-10     12.1542259     12.1538053      0.0004206         2
  0.27978534E-10     18.3210123     18.3197313      0.0012810         3
  0.40930352E-10     24.5363408     24.5351013      0.0012395         4
  0.44754404E-10     30.7045429     30.7024860      0.0020568         5
  0.48830227E-10     36.9135827     36.9104003      0.0031824         6
  0.53334940E-10     43.1176094     43.1142223      0.0033871         7
  0.59272819E-10     49.2878217     49.2835946      0.0042271         8
  0.72803874E-10     43.1176662     43.1142790      0.0033871         9
  0.75569939E-10     49.2888611     49.2857242      0.0031369        10
  0.79394175E-10     55.5457188     55.5416688      0.0040501        11
  0.87371745E-10     49.2888297     49.2856928      0.0031369        12
  0.95165982E-10     55.4974092     55.4944702      0.0029390        13
  0.96118944E-10     61.6676242     61.6627161      0.0049081        14
  0.99544197E-10     55.4974089     55.4944699      0.0029390        15
  0.99573672E-10     61.6206708     61.6176103      0.0030606        16
  0.10974486E-09     67.7423024     67.7364549      0.0058475        17
  0.10975629E-09     73.9374963     73.9335242      0.0039721        18
  0.11150033E-09     73.9859512     73.9826534      0.0032978        19
  0.11245602E-09     80.3551729     80.3530197      0.0021532        20
  0.12042777E-09     86.4122673     86.4088952      0.0033720        21
  0.12152022E-09     92.7074747     92.7049712      0.0025035        22
  0.12636800E-09     98.7945019     98.7922450      0.0022570        23
  0.12739749E-09    105.1655284    105.1638446      0.0016838        24
  0.12886870E-09    111.3276289    111.3262938      0.0013351        25
  0.12955517E-09    117.4989999    117.4976209      0.0013789        26
  0.13073558E-09    123.6415823    123.6384204      0.0031620        27
  0.13158476E-09    117.4989994    117.4976205      0.0013789        28
  0.13848684E-09    123.7360113    123.7330260      0.0029854        29
  0.14276629E-09    129.9717324    129.9685572      0.0031753        30
  0.14464010E-09    136.0396859    136.0349812      0.0047047        31
  0.14667641E-09    142.1222703    142.1177672      0.0045030        32
  0.15034593E-09    148.3306807    148.3251610      0.0055197        33
  0.15761663E-09    142.1222685    142.1177655      0.0045030        34
  0.15901547E-09    148.3871907    148.3832811      0.0039097        35
  0.16755911E-09    154.5389444    154.5351657      0.0037788        36
  0.16956902E-09    160.7040179    160.6982737      0.0057443        37
  0.17363608E-09    166.8986391    166.8900445      0.0085947        38
  0.17390397E-09    173.0770715    173.0685663      0.0085053        39
  0.17846388E-09    166.8986934    166.8900988      0.0085946        40
  0.18448452E-09    173.0816230    173.0700000      0.0116229        41
  0.18531354E-09    179.2995077    179.2879785      0.0115292        42
  0.18555961E-09    185.5253515    185.5079665      0.0173850        43
  0.19388157E-09    191.6803506    191.6634825      0.0168681        44
  0.19399387E-09    197.8750891    197.8639753      0.0111138        45
  0.19507018E-09    191.6803536    191.6634856      0.0168681        46
  0.19689680E-09    197.7509936    197.7355948      0.0153987        47
  0.19836068E-09    203.9014766    203.8787347      0.0227418        48
  0.20525093E-09    209.9962101    203.9454631      6.0507469        49
  0.20534977E-09    216.2024936    204.0488415     12.1536521        50
  0.56481308E-09    209.9962157    203.9454652      6.0507505        51
  0.56507260E-09    216.3781679    210.1835641      6.1946038        52
  0.56837802E-09    222.3171389    210.1514115     12.1657274        53
  0.57119790E-09    228.6076518    210.2269265     18.3807253        54
  0.57671487E-09    222.3171438    210.1514128     12.1657310        55
  0.57690123E-09    228.6738486    210.3280326     18.3458160        56
  0.58595081E-09    234.7646034    210.1879387     24.5766647        57
  0.58612123E-09    246.8666085    210.1771729     36.6894357        58
  0.58614332E-09    240.9573114    204.0398342     36.9174772        59
  0.58814977E-09    246.8666080    210.1771722     36.6894358        60
  0.58999905E-09    252.5763764    210.1701760     42.4062004        61
  0.59013514E-09    258.0640209    209.9960491     48.0679717        62
  0.59017748E-09    264.7346851    210.2099181     54.5247670        63
  0.59051221E-09    252.7753595    210.1831840     42.5921755        64
  0.59180278E-09    259.1024289    210.3096260     48.7928029        65
  0.61566999E-09    264.9345976    210.2650381     54.6695596        66
  0.61639745E-09    271.1453793    210.2547788     60.8906005        67
  0.61797595E-09    277.4359638    210.3317019     67.1042620        68
  0.64097608E-09    283.3869873    210.3877779     72.9992094        69
  0.64132138E-09    289.4560740    210.2999792     79.1560947        70
  0.64147033E-09    283.3870652    210.3877732     72.9992920        71
  0.64232948E-09    289.2440207    210.3599866     78.8840340        72
  0.64360440E-09    283.3870930    210.3877579     72.9993351        73
  0.64374931E-09    289.7171385    210.4099304     79.3072080        74
  0.64433705E-09    296.1563429    216.6614137     79.4949292        75
  0.64751052E-09    302.1948484    222.6830503     79.5117981        76
  0.64756013E-09    296.1563432    216.6614130     79.4949302        77
  0.64839615E-09    308.5426818    216.7448426     91.7978391        78
  0.64852320E-09    296.1564408    216.6614051     79.4950358        79
  0.65063413E-09    295.8777914    216.6291845     79.2486069        80
  0.65121160E-09    296.1565649    216.6614372     79.4951277        81
  0.65303171E-09    302.0016869    222.6179879     79.3836990        82
  0.65428099E-09    308.4360823    228.9554616     79.4806207        83
  0.66127171E-09    320.1738300    240.8265718     79.3472582        84
  0.66176592E-09    308.4360793    228.9554702     79.4806091        85
  0.66824235E-09    302.0810600    222.6707096     79.4103504        86
  0.67209832E-09    308.3094031    228.8862088     79.4231943        87
