 #  Elapsed Time    Sqr Displ.      Sqr Displ.     Sqr Displ.  KMC step
 #  ************    ***Total***       Atom Ni        Atom NiV  ********
  0.00000000E+00      0.0000000      0.0000000      0.0000000         0
  0.95302186E-11      6.0248316      6.0243597      0.0004718         1
  0.22063719E-10     12.1542259     12.1538053      0.0004206         2
  0.27978534E-10     18.3210123     18.3197313      0.0012810         3
  0.40930352E-10     24.5363408     24.5351013      0.0012395         4
  0.44754404E-10     30.7045429     30.7024860      0.0020568         5
  0.48830227E-10     36.9135827     36.9104003      0.0031824         6
  0.53334940E-10     43.1176094     43.1142223      0.0033871         7
  0.59272819E-10     49.2878217     49.2835946      0.0042271         8
  0.72803874E-10     43.1176662     43.1142790      0.0033871         9
  0.75569939E-10     49.2888611     49.2857242      0.0031369        10
  0.79394175E-10     55.5457188     55.5416688      0.0040501        11
  0.87371745E-10     49.2888297     49.2856928      0.0031369        12
  0.95165982E-10     55.4974092     55.4944702      0.0029390        13
  0.96118944E-10     61.6676242     61.6627161      0.0049081        14
  0.99544197E-10     55.4974089     55.4944699      0.0029390        15
  0.99573672E-10     61.6206708     61.6176103      0.0030606        16
  0.10974486E-09     67.7423024     67.7364549      0.0058475        17
  0.10975629E-09     73.9374963     73.9335242      0.0039721        18
  0.11150033E-09     73.9859512     73.9826534      0.0032978        19
  0.11245602E-09     80.3551729     80.3530197      0.0021532        20
  0.12042777E-09     86.4122673     86.4088952      0.0033720        21
  0.12152022E-09     92.7074747     92.7049712      0.0025035        22
  0.12636800E-09     98.7945019     98.7922450      0.0022570        23
  0.12739749E-09    105.1655284    105.1638446      0.0016838        24
  0.12886870E-09    111.3276289    111.3262938      0.0013351        25
  0.12955517E-09    117.4989999    117.4976209      0.0013789        26
  0.13073558E-09    123.6415823    123.6384204      0.0031620        27
  0.13158476E-09    117.4989994    117.4976205      0.0013789        28
  0.13848684E-09    123.7360113    123.7330260      0.0029854        29
  0.14276629E-09    129.9717324    129.9685572      0.0031753        30
  0.14464010E-09    136.0396859    136.0349812      0.0047047        31
  0.14667641E-09    142.1222703    142.1177672      0.0045030        32
  0.15034593E-09    148.3306807    148.3251610      0.0055197        33
