 #  Elapsed Time    Sqr Displ.      Sqr Displ.  KMC step
 #  ************    ***Total***       Atom Ni   ********
  0.00000000E+00      0.0000000      0.0000000         0
  0.40908442E-11      6.0219404      6.0219404         1
  0.76485529E-11     12.1420585     12.1420585         2
  0.22617164E-10     18.3709165     18.3709165         3
  0.29094790E-10     24.5074025     24.5074025         4
  0.33575124E-10     30.6428409     30.6428409         5
  0.35231398E-10     36.7988842     36.7988842         6
  0.36517585E-10     42.9456769     42.9456769         7
  0.38006110E-10     49.1742527     49.1742527         8
  0.40646655E-10     55.4217918     55.4217918         9
  0.41578117E-10     61.6596371     61.6596371        10
  0.41591708E-10     67.7656777     67.7656777        11
  0.41618977E-10     73.9489781     73.9489781        12
  0.44665200E-10     80.1941836     80.1941836        13
  0.44837842E-10     86.4193873     86.4193873        14
  0.52119042E-10     92.5030769     92.5030769        15
  0.52948140E-10     98.6751679     98.6751679        16
  0.59593926E-10    104.9506851    104.9506851        17
  0.61401061E-10    111.1065474    111.1065474        18
  0.68860145E-10    117.3634008    117.3634008        19
  0.70079830E-10    123.5754948    123.5754948        20
  0.73064700E-10    129.8008923    129.8008923        21
  0.76436935E-10    135.8719959    135.8719959        22
  0.87317862E-10    129.8008963    129.8008963        23
  0.87883095E-10    135.9981941    135.9981941        24
  0.10069753E-09    142.1439848    142.1439848        25
  0.10903337E-09    148.2566835    148.2566835        26
  0.11217032E-09    154.3680149    154.3680149        27
  0.11223457E-09    160.6548945    160.6548945        28
  0.12048955E-09    166.8613664    166.8613664        29
  0.12434430E-09    173.0678804    173.0678804        30
  0.12899109E-09    179.1134056    179.1134056        31
  0.13221645E-09    185.2884155    185.2884155        32
  0.13798641E-09    191.4766862    191.4766862        33
  0.14764568E-09    197.7948290    197.7948290        34
  0.15278722E-09    191.4770956    191.4770956        35
  0.15837840E-09    197.8281080    197.8281080        36
  0.16271304E-09    203.9612592    203.9612592        37
  0.16813020E-09    210.1054370    210.1054370        38
  0.17073610E-09    216.1225933    216.1225933        39
  0.17199320E-09    216.2088242    216.2088242        40
  0.17221112E-09    216.4251795    216.4251795        41
  0.17247202E-09    216.1791939    216.1791939        42
  0.18278755E-09    216.2855110    216.2855110        43
  0.18899987E-09    222.4702310    222.4702310        44
  0.18996675E-09    228.8090193    228.8090193        45
  0.19228110E-09    234.9240083    234.9240083        46
  0.19962691E-09    241.1208739    241.1208739        47
  0.20473974E-09    247.2005498    247.2005498        48
