 #  Elapsed Time    Sqr Displ.      Sqr Displ.     Sqr Displ.  KMC step
 #  ************    ***Total***       Atom Ni        Atom NiV  ********
  0.00000000E+00      0.0000000      0.0000000      0.0000000         0
  0.39896284E-12      6.0129797      6.0128124      0.0001673         1
  0.11139601E-10     12.1519080     12.1505860      0.0013221         2
  0.14148983E-10     18.3816752     18.3801219      0.0015533         3
  0.20627120E-10     12.1518553     12.1505333      0.0013221         4
  0.22638142E-10     18.3352682     18.3340060      0.0012621         5
  0.26241268E-10     24.5182551     24.5161723      0.0020828         6
  0.29022327E-10     30.7056243     30.7030041      0.0026201         7
  0.32669948E-10     36.9099702     36.9075600      0.0024102         8
  0.33786234E-10     43.1139039     43.1125112      0.0013928         9
  0.40388076E-10     55.5350917     55.5337662      0.0013255        10
  0.40452721E-10     55.5639903     55.5636616      0.0003287        11
  0.49540509E-10     55.5350848     55.5337594      0.0013255        12
  0.49905498E-10     61.4826831     61.4806735      0.0020096        13
  0.53282880E-10     55.4775170     55.4741947      0.0033223        14
  0.58417912E-10     61.6380019     61.6327410      0.0052609        15
  0.58762590E-10     67.8360692     67.8330275      0.0030417        16
  0.60868282E-10     61.6380003     61.6327395      0.0052608        17
  0.62140313E-10     67.7957159     67.7912799      0.0044360        18
  0.64308916E-10     74.0505521     74.0472636      0.0032884        19
  0.65758178E-10     80.2303706     80.2240303      0.0063404        20
  0.69382553E-10     86.2865309     86.2814680      0.0050630        21
  0.77278894E-10     86.4005260     86.3971260      0.0034000        22
  0.89002592E-10     92.6037700     92.5972949      0.0064750        23
  0.90730494E-10     98.7329484     98.7228081      0.0101403        24
  0.92974997E-10    104.8815181    104.8731003      0.0084178        25
  0.96973711E-10    111.0415661    111.0291670      0.0123992        26
  0.97213527E-10    111.0523379    111.0418686      0.0104693        27
  0.99196524E-10    117.2687158    117.2547727      0.0139431        28
  0.10458940E-09    123.4324268    123.4169724      0.0154544        29
  0.10794668E-09    129.6182342    129.6021186      0.0161156        30
  0.11386151E-09    135.8195523    135.8020768      0.0174755        31
  0.11669003E-09    141.9407827    141.9227086      0.0180741        32
  0.11700935E-09    148.0784866    148.0572273      0.0212594        33
  0.11826942E-09    154.3907107    154.3711843      0.0195264        34
  0.12241149E-09    160.5624126    160.5450174      0.0173951        35
  0.12270464E-09    166.8059539    166.7867021      0.0192518        36
  0.14735575E-09    172.8680951    172.8463272      0.0217680        37
  0.14741733E-09    179.1378976    179.1133154      0.0245822        38
  0.15716395E-09    185.1784602    185.1510071      0.0274531        39
  0.15973368E-09    191.4181949    191.3899833      0.0282116        40
  0.16033675E-09    197.4848773    197.4533595      0.0315178        41
  0.16054757E-09    203.7660952    203.7328008      0.0332944        42
  0.16830652E-09    209.9752525    209.9428838      0.0323687        43
  0.18415101E-09    216.1089179    216.0741665      0.0347514        44
  0.19089830E-09    222.2846986    222.2471555      0.0375431        45
  0.19155736E-09    228.4235025    228.3806578      0.0428448        46
  0.19817526E-09    234.5109046    234.4643616      0.0465429        47
  0.20663760E-09    240.6793034    240.6399741      0.0393293        48
  0.21262960E-09    246.8599569    246.8097343      0.0502226        49
  0.21345462E-09    252.9489109    252.9038553      0.0450555        50
  0.21556150E-09    246.8599547    246.8097322      0.0502225        51
  0.21656116E-09    253.1296319    253.0751110      0.0545209        52
  0.21878781E-09    259.1556809    259.0981705      0.0575103        53
  0.22014008E-09    265.2983256    265.2344705      0.0638551        54
  0.22072322E-09    271.3355137    271.2664476      0.0690661        55
  0.22355889E-09    277.4405150    277.3661848      0.0743302        56
  0.23466448E-09    283.6650630    283.5934857      0.0715773        57
  0.23548318E-09    289.9651185    289.8910726      0.0740459        58
  0.23798591E-09    296.2819441    296.2072837      0.0746603        59
  0.23843678E-09    302.4307530    302.3595410      0.0712120        60
  0.24305200E-09    308.4683608    308.3908201      0.0775406        61
  0.24367772E-09    314.5191624    314.4336337      0.0855287        62
  0.24663413E-09    308.4683173    308.3907766      0.0775406        63
  0.24776787E-09    314.6236454    314.5428063      0.0808391        64
  0.25638174E-09    320.8033626    320.7180423      0.0853203        65
  0.25901766E-09    327.2208533    327.1351471      0.0857062        66
  0.26051282E-09    333.0349899    332.9437383      0.0912516        67
  0.26107878E-09    339.1937738    339.0955317      0.0982421        68
  0.26115711E-09    345.4230961    345.3206173      0.1024788        69
